Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
ABP1	YCR088W	ARK1	YNL020C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ACC1	YNR016C	SKS1	YPL026C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ACE2	YLR131C	CBK1	YNL161W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADA2	YDR448W	RCK1	YGL158W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADE5,7	YGL234W	PTC5	YOR090C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	NET1	YJL076W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	SPT20	YOL148C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	SPT8	YLR055C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	TAF6	YGL112C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	PHO80	YOL001W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	PTP2	YOR208W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ADR1	YDR216W	SSN8	YNL025C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AKL1	YBR059C	CKA2	YOR061W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AKL1	YBR059C	PAN1	YIR006C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AKL1	YBR059C	SAP185	YJL098W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AKL1	YBR059C	SLA2	YNL243W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AKL1	YBR059C	ARK1	YNL020C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AKL1	YBR059C	BMH1	YER177W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AKL1	YBR059C	CMK1	YFR014C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	BEM2	YER155C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	KIN4	YOR233W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	LSM12	YHR121W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	NOP12	YOL041C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	PBP4	YDL053C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	PET127	YOR017W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	PWP1	YLR196W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	TOR2	YKL203C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALK2	YBL009W	UTP22	YGR090W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALY1	YKR021W	SEC7	YDR170C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ALY1	YKR021W	CDC14	YFR028C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AME1	YBR211C	MPS1	YDL028C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AMS1	YGL156W	CLG1	YGL215W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AMS1	YGL156W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AMS1	YGL156W	PHO80	YOL001W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
APE1	YKL103C	CLG1	YGL215W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
APE1	YKL103C	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
APE1	YKL103C	MRK1	YDL079C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
APE1	YKL103C	PHO80	YOL001W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
APE1	YKL103C	PUF3	YLL013C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
APE1	YKL103C	YPK2	YMR104C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
APL3	YBL037W	PKC1	YBL105C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ARB1	YER036C	ARK1	YNL020C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ARB1	YER036C	PTK2	YJR059W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ARD1	YHR013C	RIO2	YNL207W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ARK1	YNL020C	END3	YNL084C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ARK1	YNL020C	MYO2	YOR326W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ARK1	YNL020C	SLA2	YNL243W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ART5	YGR068C	RIO1	YOR119C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ART5	YGR068C	TWF1	YGR080W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	ERB1	YMR049C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	NOG1	YPL093W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	RGC1	YPR115W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	CKA2	YOR061W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	HOG1	YLR113W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
