Entry	Entry name	Gene names	Cross-reference (GeneID)
Q12194	RGL1_YEAST	RGL1 YPL066W LPE4W	856039;
Q12063	UPPS_YEAST	NUS1 YDL193W D1239	851334;
Q9URQ3	TAD3_YEAST	TAD3 YLR316C	851027;
P11914	MPPA_YEAST	MAS2 MIF2 YHR024C	856419;
P53281	LSB1_YEAST	LSB1 YGR136W	853037;
Q03406	SLD5_YEAST	SLD5 YDR489W	852100;
Q06667	IPK1_YEAST	IPK1 GSL1 YDR315C	851910;
P42837	FIG4_YEAST	FIG4 YNL325C N0330	855392;
P15703	BGL2_YEAST	BGL2 SCW9 YGR282C	853199;
Q08270	YO131_YEAST	YOL131W	853989;
P28003	FUN19_YEAST	FUN19 YAL034C	851199;
P32465	HXT1_YEAST	HXT1 HOR4 YHR094C	856494;
P38691	KSP1_YEAST	KSP1 YHR082C	856482;
Q03125	NRG1_YEAST	NRG1 MSS1 YDR043C YD5112.01C	851613;
Q08743	YO292_YEAST	YOR292C	854467;
P36094	SPC42_YEAST	SPC42 YKL042W YKL255	853824;
Q05022	RRP5_YEAST	RRP5 FMI1 YMR229C YM9959.11C	855269;
P40438	VTH1_YEAST	VTH1 YIL173W	854634;
Q07738	YD241_YEAST	YDL241W	851356;
Q06213	MED10_YEAST	NUT2 MED10 YPR168W P9325.2	856297;
P40303	PSA4_YEAST	PRE6 YOL038W	854119;
P32801	ELM1_YEAST	ELM1 YKL048C YKL261	853818;
Q03944	VPS64_YEAST	VPS64 FAR9 YDR200C YD9346.10C	851781;
P36525	RM24_YEAST	MRPL24 MRPL14 YMR193W YM9646.05	855231;
P32657	CHD1_YEAST	CHD1 YER164W SYGP-ORF4	856911;
P43616	DUG1_YEAST	DUG1 YFR044C	850605;
P0CF00	YL57E_YEAST	YLR157W-E	1466413;
Q3E735	YO034_YEAST	YOR034C-A NOR002C	1466482;
P20436	RPAB3_YEAST	RPB8 YOR224C YOR50-14	854399;
P38174	MAP2_YEAST	MAP2 YBL091C YBL0701	852187;
Q12324	YVC1_YEAST	YVC1 YOR087W YOR088W YOR3151W	854255;
P53257	TPC1_YEAST	TPC1 YGR096W	852988;
Q06058	SEI1_YEAST	SEI1 FLD1 YLR404W	851120;
P40483	YIK8_YEAST	YIL108W	854698;
P40456	ESL1_YEAST	ESL1 YIL151C	854655;
P40046	VTC1_YEAST	VTC1 NRF1 PHM4 YER072W	856803;
P48564	MRX6_YEAST	MRX6 YNL295W N0462	855421;
Q08702	APTX_YEAST	HNT3 YOR258W	854432;
P51401	RL9B_YEAST	RPL9B RPL8B YNL067W N2406 YNL2406W	855658;
Q00416	SEN1_YEAST	SEN1 YLR430W L9576.1	851150;
P32368	SAC1_YEAST	SAC1 RSD1 YKL212W	853668;
Q03205	YD042_YEAST	YDR042C YD6888.04c	851612;
P34223	UBX1_YEAST	SHP1 UBX1 YBL058W YBL0509 YBL0515	852222;
Q03735	NAB6_YEAST	NAB6 YML117W YM8339.02	854922;
Q12358	JLP1_YEAST	JLP1 YLL057C L0572	850669;
P46970	NMD5_YEAST	NMD5 KAP119 YJR132W J2112	853596;
P06243	CDC7_YEAST	CDC7 OAF2 YDL017W D2855	851545;
P48837	NUP57_YEAST	NUP57 YGR119C G6320	853016;
Q12291	BMT6_YEAST	BMT6 YLR063W L2174	850752;
P22146	GAS1_YEAST	GAS1 GGP1 YMR307W YM9952.09	855355;
Q02979	GDE1_YEAST	GDE1 YPL110C	855994;
P53841	BSC4_YEAST	BSC4 YNL269W N0670	855452;
P32452	PHA2_YEAST	PHA2 YNL316C N0351	855400;
P25642	IMG2_YEAST	IMG2 YCR071C YCR71C	850434;
P38323	CLPX_YEAST	MCX1 YBR227C YBR1524	852528;
Q03532	HAS1_YEAST	HAS1 YMR290C	855335;
Q02574	MEC3_YEAST	MEC3 PIP3 PSO9 YLR288C L8003.15	850995;
P32454	APE2_YEAST	APE2 LAP1 YKL157W YKL158W YKL611 YKL612	853699;
Q02651	SMA1_YEAST	SMA1 YPL027W	856080;
Q02793	SKI8_YEAST	SKI8 REC103 YGL213C	852659;
P53070	MTO1_YEAST	MTO1 IPS1 YGL236C	852616;
Q92317	NCB2_YEAST	NCB2 YDR1 YDR397C	852006;
Q03099	YMN3_YEAST	YML133C YM4987.01C YM4987.02C	854906;
